No of DDE-Post,No of DDEs,Session-ID,Student-ID,Total Time(mins)
3,6,"""E1BB1-Apr03-19-34-02"")","""E1BB1""",0.5333333333333333
3,6,"""E1BB1-Apr03-19-34-45"")","""E1BB1""",0.8
3,8,"""E1BB1-Apr03-19-35-45"")","""E1BB1""",2.033333333333333
3,8,"""E1BB1-Apr03-19-37-57"")","""E1BB1""",0.8166666666666667
3,37,"""E2691-Apr03-19-38-53"")","""E2691""",0.8166666666666667
3,7,"""E1BB1-Apr03-19-39-08"")","""E1BB1""",1.0333333333333334
3,6,"""E1BB1-Apr03-19-40-35"")","""E1BB1""",0.26666666666666666
3,120,"""E2B77-Apr03-19-27-15"")","""E2B77""",19.316666666666666
3,98,"""E1F7D-Apr03-19-22-01"")","""E1F7D""",25.333333333333332
5,27,"""E2691-Apr03-19-40-26"")","""E2691""",11.15
5,99,"""E1F7D-Apr03-19-47-43"")","""E1F7D""",7.5
3,41,"""E1F7D-Apr03-20-03-06"")","""E1F7D""",0.4
4,48,"""E2691-Apr03-20-02-31"")","""E2691""",10.133333333333333
3,3,"""E2967-Apr03-20-12-49"")","""E2967""",0.18333333333333332
3,33,"""E2691-Apr03-20-13-24"")","""E2691""",2.75
5,123,"""E1F7D-Apr03-20-03-42"")","""E1F7D""",16.15
3,126,"""E1F7D-Apr03-20-20-03"")","""E1F7D""",9.183333333333334
3,49,"""E1F7D-Apr03-20-29-25"")","""E1F7D""",0.2833333333333333
4,91,"""E1F7D-Apr03-20-30-08"")","""E1F7D""",5.033333333333333
4,102,"""E1F7D-Apr03-20-35-20"")","""E1F7D""",8.316666666666666
3,17,"""E1A13-Apr03-20-58-37"")","""E1A13""",0.6166666666666667
8,45,"""E21F9-Apr03-20-34-56"")","""E21F9""",29.516666666666666
3,21,"""E20EB-Apr03-21-03-44"")","""E20EB""",1.9333333333333333
3,23,"""E20EB-Apr03-21-05-59"")","""E20EB""",1.9666666666666668
4,20,"""E21F9-Apr03-21-04-54"")","""E21F9""",4.383333333333334
3,21,"""E20EB-Apr03-21-08-15"")","""E20EB""",2.183333333333333
3,17,"""E21F9-Apr03-21-09-25"")","""E21F9""",1.3333333333333333
3,14,"""E20EB-Apr03-21-10-37"")","""E20EB""",1.55
3,16,"""E1A13-Apr03-21-03-57"")","""E1A13""",12.933333333333334
3,11,"""E267F-Apr03-21-14-09"")","""E267F""",3.6333333333333333
3,27,"""E20EB-Apr03-21-12-57"")","""E20EB""",6.45
3,7,"""E267F-Apr03-21-18-06"")","""E267F""",0.9333333333333333
3,8,"""E267F-Apr03-21-19-22"")","""E267F""",1.3
3,7,"""E267F-Apr03-21-20-56"")","""E267F""",0.38333333333333336
3,18,"""E21F9-Apr03-21-11-22"")","""E21F9""",10.583333333333334
3,8,"""E267F-Apr03-21-21-35"")","""E267F""",2.216666666666667
6,11,"""E1A13-Apr03-21-21-31"")","""E1A13""",3.1166666666666667
4,27,"""E21F9-Apr03-21-22-12"")","""E21F9""",3.7
4,21,"""E25E9-Apr03-21-24-37"")","""E25E9""",2.7
4,8,"""E21F9-Apr03-21-26-10"")","""E21F9""",2.8
